supervisor_id,domain,domain_count,dominance,latest_year,experience_score,recency_score,preference_score,saturation_penalty,final_score
SUP-001,Convolutional Neural Networks,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-001,Deep Learning,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-001,Image Deblurring,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-001,Image Processing,1,0.2,2023.0,0.2,1.0,1.0,0.0,0.53
SUP-001,Low-Light Imaging,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-002,Abstractive Summarization,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-002,Deep Learning,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-002,Natural Language Processing,1,0.2,2023.0,0.2,1.0,1.0,0.0,0.53
SUP-002,ROUGE Evaluation,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-002,Transfer Learning,1,0.2,2023.0,0.2,1.0,0.0,0.0,0.33
SUP-003,Machine Learning,3,0.0857142857142857,2020.0,0.6,0.7,1.0,0.0,0.615
SUP-003,Anomaly Detection,2,0.0571428571428571,2020.0,0.4,0.7,0.0,0.0,0.335
SUP-003,Deep Learning,2,0.0571428571428571,2020.0,0.4,0.7,1.0,0.0,0.535
SUP-003,Financial Transactions,2,0.0571428571428571,2020.0,0.4,0.7,0.0,0.0,0.335
SUP-003,Fraud Detection,2,0.0571428571428571,2020.0,0.4,0.7,0.0,0.0,0.335
SUP-003,Active Learning,1,0.0285714285714285,2025.0,0.2,1.0,0.0,0.0,0.33
SUP-003,Agricultural Imaging,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Binary Classification,1,0.0285714285714285,2016.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Biomedical Data Analysis,1,0.0285714285714285,2019.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Chest X-ray Analysis,1,0.0285714285714285,2019.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Cold Start Problem,1,0.0285714285714285,2025.0,0.2,1.0,0.0,0.0,0.33
SUP-003,Collaborative Filtering,1,0.0285714285714285,2025.0,0.2,1.0,0.0,0.0,0.33
SUP-003,Computer Vision,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Configuration Parameter Tuning,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Cybersecurity,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Database Management Systems,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Database Optimization,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Gene Prioritization,1,0.0285714285714285,2016.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Generative Adversarial Networks,1,0.0285714285714285,2025.0,0.2,1.0,0.0,0.0,0.33
SUP-003,Genetic Data Mining,1,0.0285714285714285,2016.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Image Classification,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Inherited Disease Detection,1,0.0285714285714285,2016.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Lung Disease Diagnosis,1,0.0285714285714285,2019.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Optimization Techniques,1,0.0285714285714285,2020.0,0.2,0.7,0.0,0.0,0.255
SUP-003,Outlier Detection,1,0.0285714285714285,2018.0,0.2,0.7,0.0,0.0,0.255
